,Comentarios,TweetPre
142,"Esta mañana llore al ver jajaja mis bebés abrazar jajaja su hermano que no veían hace 3 años, y acabe de llorar después de ver el vídeo donde le dan la sorpresa jajaja la mamá, definitivamente LA FAMILIA ES ESE LAZO QUE NOS COMPLETA ❤️❤️ @ClauDanyB @Berdejo_ma las amoo❤️",manana llore jajaja bebes abrazar jajaja hermano veian hace ano acabe llorar despues video sorpresa jajaja mama definitivamente familia lazo completa claudanyb berdejo amoo
143,"Fisicamente cansada, psicológicamente escotada",fisicamente cansada psicologicamente escotada
144,Cansada disso tudo já 🤦🏽‍♀️😓,cansada disso tudo
145,Faaaaa loco @rickygervais #Afterlife3 me hiciste llorar con de todo y eso que no termine de ver la serie.,faaa loco rickygervais afterlife hiciste llorar termine serie
146,Feliz pela tour e triste pq moro long e sou poli. Harry tu me paga homi #HarryStyles #LoveOnTour2022,feliz pela tour triste moro long poli harry paga homi harrystyles loveontour
147,"PC y psi [ESP] 🥵🥺REPITAMOS UNA VEZ MAS SOLO UNA 👉👈🥺💕 THE LAST OF US 2! sr,! comandos.! redes 🥳🌌🪐 ven sonriamos mas y dejemos de llorar @streamingrow @TwitchBuds @twitchpr0mo twitch #TwitchAffilate #TwitchPartner 😂😎🤪🥳",repitamos solo last comandos redes sonriamos dejemos llorar streamingrow twitchbuds twitchpr twitch twitchaffilate twitchpartner
148,@lizethselene_ Sinceramente estou triste,lizethselene sinceramente estou triste
149,"me puse triste, Pato poné Pensamientos",puse triste pato pone pensamientos
150,Triste jajaja vida da pessoas q tem uma morena com cara de brava que queria comer ela e bater nena: c,triste jajaja vida pessoas morena cara brava queria comer bater nena
151,Me puse triste y al final me dio mucha ternura ajsjshsk,puse triste final mucha ternura ajsjshsk
152,indo vivir musica triste,indo vivir musica triste
153,"@Daniel_Souto_M @fguscs @phsantos Relmente intrigante debate com um cachorro preocupado com o socialismo que nunca paso perto de girar os problemas que temos aqui no pais, todos grados pelo capitalismo.",daniel souto fguscs phsantos relmente intrigante debate cachorro preocupado socialismo nunca paso perto girar problemas temos aqui pais grados pelo capitalismo
154,gatinha triste,gatinha triste
155,"@maxxxz70 Si, muy triste, hace 1 semana, si no me equivoco. Sufría de depresión",maxxxz triste hace semana equivoco sufria depresion
156,@mackiie__ Triste jajaja vida,mackiie triste jajaja vida
157,@badaberde jajaja galera no usaba. Triste. Se eu fosse iria reinar todos os dias de manos antes do povo acordar,badaberde jajaja galera usaba triste fosse iria reinar dia manos povo acordar
158,"fin uma asignatura de libro num sebo. preenchi um formulario, e eles veo me enviar um libro. e eu to ansiosa pra saber o que é!",asignatura libro sebo preenchi formulario eles enviar libro ansiosa saber
159,O plot é tío interessante. Acho q vai entregar bem se derek uma chance. Não sou fe do Krist mas te ansiosa,plot interessante acho entregar derek chance krist ansiosa
160,"@lucky_mon Si es depresión media o profunda consulta jajaja un psiquiatra, si es leve con unos antidepresivos que venden sin receta la vences.",lucky depresion medium profunda consulta jajaja psiquiatra leve antidepresivos venden receta vences
161,La ansiedad que he tenido hoy no se la deseo jajaja nadie che,ansiedad deseo jajaja nadie
162,@CeSanz1 Sí Llevamos 7 años con el tremendo corrupto que fue Nisman y la justicia lo cajones para que los periodistas pagos y las lacras del PRO lo descongelen o mas de 20 del correo estás preocupado por esto? Uds tambien son lacras y no es justo que no se los diga,cesanz llevamos ano tremendo corrupto nisman justicia cajones periodistas pagos lacras descongelen correo preocupado tambien lacras justo diga
163,@v3nusus Triste,nusus triste
164,Estou ansiosa pra ler.,estou ansiosa
